stock_symbol,open_price,current_price,high_price,low_price,trading_volume,market_trend,date
MSFT,432.1350187153662,428.31268310546875,432.48432563013114,425.24880857311865,17015800,Downward,2024-09-24
MSFT,428.9713514363913,431.2467956542969,432.25478780854195,427.7138891426906,13396400,Upward,2024-09-25
MSFT,434.2208424719693,430.4483947753906,434.4304144393862,428.27275694361356,14492000,Downward,2024-09-26
MSFT,430.6579556744764,427.1649475097656,430.98731349999593,426.6160584093853,14896100,Downward,2024-09-27
MSFT,427.3545779124989,429.4403991699219,429.5601850355194,424.5202548923187,16807300,Upward,2024-09-30
MSFT,427.59411732607174,419.849609375,427.6240561781871,417.9733600914629,19092900,Downward,2024-10-01
MSFT,421.735816910149,416.2967224121094,421.9753581830839,415.87754802693416,16582300,Downward,2024-10-02
MSFT,416.79573518966424,415.7079162597656,418.7118826868124,413.46241092439135,13686400,Downward,2024-10-03
MSFT,417.4044891108862,415.2288513183594,418.91148239103603,414.141032422096,19169700,Downward,2024-10-04
MSFT,415.16898000097916,408.7218933105469,416.27674799671047,408.1829635105781,20919800,Downward,2024-10-07
MSFT,410.0791746223265,413.8815612792969,414.8296757293512,407.3546475987459,19229300,Upward,2024-10-08
MSFT,415.0292278034618,416.62603759765625,419.5402177563071,413.47234662969106,14974300,Upward,2024-10-09
MSFT,414.4005410260384,415.0093078613281,416.5163012078428,412.3246790108455,13848400,Upward,2024-10-10
MSFT,415.30870917320357,415.48834228515625,416.2967217455578,412.42446778596707,14144900,Upward,2024-10-11
MSFT,416.93544552364324,418.302734375,423.1929399714268,416.6859449273295,16653100,Upward,2024-10-14
MSFT,421.33663401346166,417.90350341796875,421.6360529989684,414.4304746563672,18900200,Downward,2024-10-15
MSFT,414.34064286226896,415.2887268066406,415.5282376209468,409.66000947414466,15508900,Upward,2024-10-16
MSFT,421.5162601711392,415.8875427246094,421.65599512005826,414.7597951900465,14820000,Downward,2024-10-17
MSFT,416.30672505621476,417.3246765136719,418.81169030533886,415.4284780937268,17145300,Upward,2024-10-18
MSFT,415.28873052027103,417.94342041015625,418.1230535224922,412.92346983800354,14206100,Upward,2024-10-21
MSFT,417.65400492824705,426.656005859375,429.719850009177,417.20492213264845,25482200,Upward,2024-10-22
MSFT,429.99927448801196,423.7518005371094,430.2188362215334,421.68592837942305,19654400,Downward,2024-10-23
MSFT,424.48033834123805,423.8815612792969,425.1290642527003,421.55619868116815,13581600,Downward,2024-10-24
MSFT,425.9075007963015,427.2947082519531,431.6559737319955,425.7178779096375,16899100,Upward,2024-10-25
MSFT,430.79770276573566,425.7378234863281,431.0771422085262,425.44839427381163,14882400,Downward,2024-10-28
MSFT,427.14500621655657,431.0871276855469,432.3046917719988,424.94938886176953,17644100,Upward,2024-10-29
MSFT,436.566149775902,431.66595458984375,437.6240298288107,431.2368208895649,29749100,Downward,2024-10-30
MSFT,414.53024968400064,405.53826904296875,415.3286698537771,405.4883506505116,53971000,Downward,2024-10-31
MSFT,408.1929633155515,409.55023193359375,414.669989017628,406.6859699751707,24230400,Upward,2024-11-01
MSFT,408.98136250106245,407.64404296875,409.6001495592508,404.75983193250556,19672300,Downward,2024-11-04
MSFT,407.55420745470553,410.6380310058594,414.0711614645437,407.26477825056725,17626000,Upward,2024-11-05
MSFT,411.5961294118678,419.3406066894531,419.6100868075599,409.6999006422783,26681800,Upward,2024-11-06
MSFT,420.4384354335317,424.58013916015625,425.997315920461,419.041238212776,19901800,Upward,2024-11-07
MSFT,424.4703681752109,421.6959228515625,425.6480036424066,420.9374313170091,16891400,Downward,2024-11-08
MSFT,421.67592700377526,417.1749572753906,423.9613608320793,415.16896287691225,24503300,Downward,2024-11-11
MSFT,417.41448646778457,422.1849365234375,423.59212350380113,416.3665961739424,19401200,Upward,2024-11-12
MSFT,420.7977304833057,424.3506164550781,428.4723406260961,417.37455923502137,21502200,Upward,2024-11-13
MSFT,424.1509924128195,426.0372314453125,427.3146732159619,419.1609807373746,30246900,Upward,2024-11-14
MSFT,418.981368798022,414.1709899902344,421.95539641463347,412.8137213651046,28247600,Downward,2024-11-15
MSFT,414.04123715109023,414.9294738769531,417.56418428856415,411.27678155870234,24742000,Upward,2024-11-18
MSFT,412.28473963430486,416.9554138183594,417.10510808078726,410.727858391825,18133500,Upward,2024-11-19
MSFT,416.0372212157148,414.65997314453125,416.4563955899673,409.7597781109004,19191700,Downward,2024-11-20
MSFT,419.5,412.8699951171875,419.7799987792969,410.2900085449219,20780200,Downward,2024-11-21
MSFT,411.3699951171875,417,417.3999938964844,411.05999755859375,24814600,Upward,2024-11-22
MSFT,418.3800048828125,418.7900085449219,421.0799865722656,414.8500061035156,27691100,Upward,2024-11-25
MSFT,419.5899963378906,427.989990234375,429.0400085449219,418.8500061035156,23458900,Upward,2024-11-26
MSFT,425.1099853515625,422.989990234375,427.2300109863281,422.0199890136719,18332400,Downward,2024-11-27
MSFT,420.0899963378906,423.4599914550781,424.8800048828125,417.79998779296875,16271900,Upward,2024-11-29
MSFT,421.57000732421875,430.9800109863281,433,421.30999755859375,20207200,Upward,2024-12-02
MSFT,429.8399963378906,431.20001220703125,432.4700012207031,427.739990234375,18302000,Upward,2024-12-03
MSFT,433.0299987792969,437.4200134277344,439.6700134277344,432.6300048828125,26009400,Upward,2024-12-04
MSFT,437.9200134277344,442.6199951171875,444.6600036621094,436.1700134277344,21697800,Upward,2024-12-05
MSFT,442.29998779296875,443.57000732421875,446.1000061035156,441.7699890136719,18821000,Upward,2024-12-06
MSFT,442.6000061035156,446.0199890136719,448.3299865722656,440.5,19144400,Upward,2024-12-09
MSFT,444.3900146484375,443.3299865722656,449.6199951171875,441.6000061035156,18469500,Downward,2024-12-10
MSFT,444.04998779296875,448.989990234375,450.3500061035156,444.04998779296875,19200200,Upward,2024-12-11
MSFT,449.1099853515625,449.55999755859375,456.1600036621094,449.1099853515625,20834800,Upward,2024-12-12
MSFT,448.44000244140625,447.2699890136719,451.42999267578125,445.5799865722656,20177800,Downward,2024-12-13
MSFT,447.2699890136719,451.5899963378906,452.17999267578125,445.2799987792969,23598800,Upward,2024-12-16
MSFT,451.010009765625,454.4599914550781,455.2900085449219,449.57000732421875,22716300,Upward,2024-12-17
TSLA,254.0800018310547,254.27000427246094,257.19000244140625,249.0500030517578,88491000,Upward,2024-09-24
TSLA,252.5399932861328,257.0199890136719,257.04998779296875,252.27999877929688,65034300,Upward,2024-09-25
TSLA,260.6000061035156,254.22000122070312,261.75,251.52999877929688,67142200,Downward,2024-09-26
TSLA,257.3800048828125,260.4599914550781,260.70001220703125,254.1199951171875,70988100,Upward,2024-09-27
TSLA,259.0400085449219,261.6300048828125,264.8599853515625,255.77000427246094,80705700,Upward,2024-09-30
TSLA,262.6700134277344,258.0199890136719,263.9800109863281,248.52999877929688,87397600,Downward,2024-10-01
TSLA,247.5500030517578,249.02000427246094,251.16000366210938,241.5,93983900,Upward,2024-10-02
TSLA,244.47999572753906,240.66000366210938,249.7899932861328,237.80999755859375,80729200,Downward,2024-10-03
TSLA,246.69000244140625,250.0800018310547,250.9600067138672,244.5800018310547,86573200,Upward,2024-10-04
TSLA,249,240.8300018310547,249.8300018310547,240.6999969482422,68113300,Downward,2024-10-07
TSLA,243.55999755859375,244.5,246.2100067138672,240.55999755859375,56303200,Upward,2024-10-08
TSLA,243.82000732421875,241.0500030517578,247.42999267578125,239.50999450683594,66289500,Downward,2024-10-09
TSLA,241.80999755859375,238.77000427246094,242.7899932861328,232.33999633789062,83087100,Downward,2024-10-10
TSLA,220.1300048828125,217.8000030517578,223.33999633789062,214.3800048828125,142628900,Downward,2024-10-11
TSLA,220.1300048828125,219.16000366210938,221.91000366210938,213.74000549316406,86291900,Downward,2024-10-14
TSLA,220.00999450683594,219.57000732421875,224.25999450683594,217.1199951171875,62988800,Downward,2024-10-15
TSLA,221.39999389648438,221.3300018310547,222.82000732421875,218.92999267578125,49632800,Downward,2024-10-16
TSLA,221.58999633789062,220.88999938964844,222.0800018310547,217.89999389648438,50791800,Downward,2024-10-17
TSLA,220.7100067138672,220.6999969482422,222.27999877929688,219.22999572753906,49611900,Downward,2024-10-18
TSLA,218.89999389648438,218.85000610351562,220.47999572753906,215.72999572753906,47329000,Downward,2024-10-21
TSLA,217.30999755859375,217.97000122070312,218.22000122070312,215.25999450683594,43268700,Upward,2024-10-22
TSLA,217.1300048828125,213.64999389648438,218.72000122070312,212.11000061035156,80938900,Downward,2024-10-23
TSLA,244.67999267578125,260.4800109863281,262.1199951171875,242.64999389648438,204491900,Upward,2024-10-24
TSLA,256.010009765625,269.19000244140625,269.489990234375,255.32000732421875,161611900,Upward,2024-10-25
TSLA,270,262.510009765625,273.5400085449219,262.239990234375,107653600,Downward,2024-10-28
TSLA,264.510009765625,259.5199890136719,264.9800109863281,255.50999450683594,80521800,Downward,2024-10-29
TSLA,258.0400085449219,257.54998779296875,263.3500061035156,255.82000732421875,53993600,Downward,2024-10-30
TSLA,257.989990234375,249.85000610351562,259.75,249.25,66575300,Downward,2024-10-31
TSLA,252.0399932861328,248.97999572753906,254,246.6300048828125,57544800,Downward,2024-11-01
TSLA,244.55999755859375,242.83999633789062,248.89999389648438,238.8800048828125,68802400,Downward,2024-11-04
TSLA,247.33999633789062,251.44000244140625,255.27999877929688,246.2100067138672,69282500,Upward,2024-11-05
TSLA,284.6700134277344,288.5299987792969,289.5899963378906,275.6199951171875,165228700,Upward,2024-11-06
TSLA,288.8900146484375,296.9100036621094,299.75,285.5199890136719,117309200,Upward,2024-11-07
TSLA,299.1400146484375,321.2200012207031,328.7099914550781,297.6600036621094,204782800,Upward,2024-11-08
TSLA,346.29998779296875,350,358.6400146484375,336,210521600,Upward,2024-11-11
TSLA,342.739990234375,328.489990234375,345.8399963378906,323.30999755859375,155726000,Downward,2024-11-12
TSLA,335.8500061035156,330.239990234375,344.6000061035156,322.5,125405600,Downward,2024-11-13
TSLA,327.69000244140625,311.17999267578125,329.9800109863281,310.3699951171875,120726100,Downward,2024-11-14
TSLA,310.57000732421875,320.7200012207031,324.67999267578125,309.2200012207031,114440300,Upward,2024-11-15
TSLA,340.7300109863281,338.739990234375,348.54998779296875,330.010009765625,126547500,Downward,2024-11-18
TSLA,335.760009765625,346,347.3800048828125,332.75,88852500,Upward,2024-11-19
TSLA,345,342.0299987792969,346.6000061035156,334.29998779296875,66340700,Downward,2024-11-20
TSLA,343.80999755859375,339.6400146484375,347.989990234375,335.2799987792969,58011700,Downward,2024-11-21
TSLA,341.0899963378906,352.55999755859375,361.5299987792969,337.70001220703125,89140700,Upward,2024-11-22
TSLA,360.1400146484375,338.5899963378906,361.92999267578125,338.20001220703125,95890900,Downward,2024-11-25
TSLA,341,338.2300109863281,346.9599914550781,335.6600036621094,62295900,Downward,2024-11-26
TSLA,341.79998779296875,332.8900146484375,342.54998779296875,326.5899963378906,57896400,Downward,2024-11-27
TSLA,336.0799865722656,345.1600036621094,345.45001220703125,334.6499938964844,37167600,Upward,2024-11-29
TSLA,352.3800048828125,357.0899963378906,360,351.1499938964844,77986500,Upward,2024-12-02
TSLA,351.79998779296875,351.4200134277344,355.69000244140625,348.20001220703125,58267200,Downward,2024-12-03
TSLA,353,357.92999267578125,358.1000061035156,348.6000061035156,50810900,Upward,2024-12-04
TSLA,359.8699951171875,369.489990234375,375.42999267578125,359.5,81403600,Upward,2024-12-05
TSLA,377.4200134277344,389.2200012207031,389.489990234375,370.79998779296875,81455800,Upward,2024-12-06
